ID_TMatrix_V1_Out,TMatrix_ABS_CRS,TMatrix_SCA_CRS,created_at,updated_at,MLink
141,0.001465877594442445,3.600512014630653e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,141
142,0.00153066331299666,2.2217645929379683e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,142
143,0.006463650832228824,0.0002569871913782122,2019-07-16 06:12:28,2019-07-16 06:12:28,143
144,0.005204135538256205,0.00027693920598105104,2019-07-16 06:12:28,2019-07-16 06:12:28,144
145,0.004085723751123829,0.0001715429046572,2019-07-16 06:12:28,2019-07-16 06:12:28,145
146,0.012008602825733829,0.0013095244495503683,2019-07-16 06:12:28,2019-07-16 06:12:28,146
147,0.0014339292743340718,2.30773710791308e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,147
148,0.002149303136606615,6.023506574999554e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,148
149,0.0010923019622966646,1.342034013591873e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,149
150,0.00713519003338204,0.00026135020396158214,2019-07-16 06:12:28,2019-07-16 06:12:28,150
151,0.003406139410374573,0.0001088153598755984,2019-07-16 06:12:28,2019-07-16 06:12:28,151
152,0.007171996170126239,0.0001614030448182446,2019-07-16 06:12:28,2019-07-16 06:12:28,152
153,0.004656614417006673,0.0001760856009919325,2019-07-16 06:12:28,2019-07-16 06:12:28,153
154,0.005182576255428194,0.00013692861966124698,2019-07-16 06:12:28,2019-07-16 06:12:28,154
155,0.005536825650224125,0.00014039630352450554,2019-07-16 06:12:28,2019-07-16 06:12:28,155
156,0.0027065945502136295,0.00011359794656572728,2019-07-16 06:12:28,2019-07-16 06:12:28,156
157,0.0062068907239280924,0.0005315136298283883,2019-07-16 06:12:28,2019-07-16 06:12:28,157
158,0.0023765573989971076,6.440237902642355e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,158
159,0.0025057780580889184,3.9372454573547087e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,159
160,0.005667294115866769,0.0002242649850603273,2019-07-16 06:12:28,2019-07-16 06:12:28,160
161,0.008052285268725277,0.0009339283123105222,2019-07-16 06:12:28,2019-07-16 06:12:28,161
162,0.013043153094468742,0.000832303564903031,2019-07-16 06:12:28,2019-07-16 06:12:28,162
163,0.0031367548492649182,7.216345957927312e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,163
164,0.004172603258848962,0.00015429916232492295,2019-07-16 06:12:28,2019-07-16 06:12:28,164
165,0.005696546861167286,0.00023123629588073843,2019-07-16 06:12:28,2019-07-16 06:12:28,165
166,0.004046809396798446,0.00012822071051983222,2019-07-16 06:12:28,2019-07-16 06:12:28,166
167,0.003758015747584212,9.279743805038495e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,167
168,0.00430553482181231,6.648057699428587e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,168
169,0.000748437170972069,1.6531405849418168e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,169
170,0.006125600017604614,0.00036948064365416024,2019-07-16 06:12:28,2019-07-16 06:12:28,170
171,0.0029624393667148836,0.00012120124791960765,2019-07-16 06:12:28,2019-07-16 06:12:28,171
172,0.002605647453751195,6.886244297207732e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,172
173,0.005938026182388567,0.00021750796339904582,2019-07-16 06:12:28,2019-07-16 06:12:28,173
174,0.011266341092760538,0.0006169599849533819,2019-07-16 06:12:28,2019-07-16 06:12:28,174
175,0.0029874215067781937,4.523015367589042e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,175
176,0.009715340556327685,0.00029996940296312383,2019-07-16 06:12:28,2019-07-16 06:12:28,176
177,0.0029533130328735927,0.00015855899913944107,2019-07-16 06:12:28,2019-07-16 06:12:28,177
178,0.003326047242754305,7.626777586852448e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,178
179,0.0010109022263761125,1.6501452046734003e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,179
180,0.005945833859289334,0.00020802959680518777,2019-07-16 06:12:28,2019-07-16 06:12:28,180
181,0.01614281721424166,0.0011619448476739129,2019-07-16 06:12:28,2019-07-16 06:12:28,181
182,0.018640583352652347,0.0015765296216819547,2019-07-16 06:12:28,2019-07-16 06:12:28,182
183,0.0037771977091204155,0.00010269926363632223,2019-07-16 06:12:28,2019-07-16 06:12:28,183
184,0.002073358236132705,3.456763184711299e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,184
185,0.0021368158787559576,6.830131210793201e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,185
186,0.005985011622045099,0.0003375188767996625,2019-07-16 06:12:28,2019-07-16 06:12:28,186
187,0.0011956297085666998,1.5310187998450707e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,187
188,0.0027754016914754705,5.9106956881575786e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,188
189,0.0008047493717272383,8.17572753370708e-06,2019-07-16 06:12:28,2019-07-16 06:12:28,189
190,0.005389820485719645,0.0002033569129150077,2019-07-16 06:12:28,2019-07-16 06:12:28,190
191,0.004615248459071666,0.00014382219141922907,2019-07-16 06:12:28,2019-07-16 06:12:28,191
192,0.0021306223953717306,3.1038610790259e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,192
193,0.005525366924025681,0.00023610531380092631,2019-07-16 06:12:28,2019-07-16 06:12:28,193
